This Pfam domain was detected only during IHH-specific iterations? 0 = No, 1 = Yes	Pfam AC	Pfam ID, description	Protein AC	Protein length	Start hit coordinate on protein, aa	End hit coordinate on protein, aa	P_IHH	P_protein	P_domain	Virus genome	The most senior rank to which virus is classified	The 2nd most senior rank to which virus is classified	Virus taxonomy	target length	target Neff	query length #1	probability #1	pvalue #1	score #1	SS score #1	query coordinates #1	target coordinates #1	query length #2	probability #2	pvalue #2	score #2	SS score #2	query coordinates #2	target coordinates #2	Probab2
1	PF00154.20	RecA, recA bacterial DNA recombination protein	YP_009336505.1	3441	679	771	96.1	94	97.3	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Changjiang picorna-like virus 16	262	10.7	3441	94.0	5.3e-06	49.5	8.6	1-3441	1-86	1102	96.1	7.4e-07	49.3	8.6	632-1733	1-86	2	96.14241058123307
1	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	NP_040937.1	3988	295	355	96.6	93.4	97.1	plus_ssRNA	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Bovine viral diarrhea virus 1	184	8.8	3988	93.4	3.7e-07	59.2	-0.8	1-3988	30-98	465	96.6	7.5e-09	57.1	-0.8	229-693	30-98	2	96.9369970245057
1	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	NP_044731.1	3897	295	355	97	94.7	97.4	plus_ssRNA	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Bovine viral diarrhea virus 2	184	8.8	3897	94.7	1.7e-07	61.4	-0.2	1-3897	30-98	427	97.0	3e-09	58.8	-0.2	229-655	30-98	2	97.31002598697168
1	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	NP_075354.1	3898	292	352	97.1	94.6	97.4	plus_ssRNA	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Classical swine fever virus	184	8.8	3898	94.6	2.5e-07	60.2	0.5	1-3898	30-98	465	97.1	2.6e-09	59.7	-0.0	226-690	30-98	2	97.19884859592764
1	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	NP_620053.1	3989	291	351	96.6	93.2	97.1	plus_ssRNA	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Pestivirus giraffe-1 H138	184	8.8	3989	93.2	6.3e-07	57.4	0.5	1-3989	30-98	464	96.6	1.4e-08	55.4	0.5	226-689	30-98	2	96.87446279656581
1	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	NP_620062.1	3895	293	353	95.9	87	96.1	plus_ssRNA	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Border disease virus	184	8.8	3895	87.0	3.4e-06	52.1	-0.6	1-3895	30-98	300	95.9	3.3e-08	50.5	-0.6	169-468	30-98	3	96.30251767242271
1	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	YP_002967452.1	3899	294	354	97	94.9	97.4	plus_ssRNA	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Bovine viral diarrhea virus 3 Th/04_KhonKaen	184	8.8	3899	94.9	1.9e-07	61.1	0.6	1-3899	30-98	465	97.0	4.5e-09	58.3	0.6	228-692	30-98	2	97.29816578520665
1	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	YP_006860588.1	3895	293	353	96.7	93.9	97.2	plus_ssRNA	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Pestivirus strain Aydin/04-TR	184	8.8	3895	93.9	1.9e-07	61.0	-1.9	1-3895	30-98	465	96.7	3.8e-09	58.8	-1.9	227-691	30-98	2	97.02234320964057
1	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	YP_009268709.1	3635	317	387	95.7	87.1	96	plus_ssRNA	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Atypical porcine pestivirus 1	184	8.8	3635	87.1	1.3e-05	47.6	3.6	1-3635	83-115	300	95.7	2.6e-07	45.6	3.6	248-547	31-115	3	96.23935637132604
1	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	YP_009407716.1	3923	312	369	97	94.8	97.4	plus_ssRNA	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Linda virus	184	8.8	3923	94.8	1.3e-07	62.2	-0.7	1-3923	33-98	520	97.0	2.4e-09	60.7	-0.7	183-702	33-98	2	97.19853220215855
1	PF00625.20	Guanylate_kin, Guanylate kinase	YP_009333409.1	2595	2468	2524	95.9	91.5	96.9	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai razor shell virus 4	186	11.4	2595	91.5	1.5e-05	41.6	7.1	1-2595	100-158	480	95.9	9.2e-07	40.7	7.1	2116-2595	100-158	2	96.15911428715667
1	PF00625.20	Guanylate_kin, Guanylate kinase	YP_009333465.1	2644	2494	2559	96	91.5	96.9	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai sesarmid crab virus 7	186	11.4	2644	91.5	1.4e-05	41.8	6.9	1-2644	90-157	494	96.0	7.6e-07	41.3	6.9	2151-2644	90-157	2	96.11786531765453
1	PF00625.20	Guanylate_kin, Guanylate kinase	YP_009336942.1	2461	2326	2387	96.6	93.7	97.2	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei toti-like virus 5	186	11.4	2461	93.7	1.4e-06	47.8	3.5	1-2461	90-153	486	96.6	5.4e-08	47.3	3.5	1976-2461	90-153	2	96.66029067171154
1	PF02390.16	Methyltransf_4, Putative methyltransferase	YP_803213.1	6872	1422	1496	96.7	83.6	96.7	plus_ssRNA	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Bafinivirus, White bream virus	181	12.5	6872	83.6	1.8e-05	43.0	2.5	1-6872	2-92	300	96.7	3.3e-08	43.1	2.5	1201-1500	2-92	4	96.64188055545623
1	PF02390.16	Methyltransf_4, Putative methyltransferase	YP_803214.1	4555	1422	1496	96.7	87.9	96.7	plus_ssRNA	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Bafinivirus, White bream virus	181	12.5	4555	87.9	8.4e-06	43.5	2.6	1-4555	2-92	300	96.7	3.3e-08	43.1	2.6	1201-1500	2-92	4	96.75172618319097
1	PF02825.19	WWE, WWE domain	YP_009333298.1	2150	962	1026	96.1	91.3	96.2	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai hepe-like virus 9	71	10.2	2150	91.3	4.1e-06	39.7	2.9	1-2150	4-69	300	96.1	1.4e-07	38.2	2.9	862-1161	4-69	3	96.48783426210585
