q_id	genome_org	taxo1	taxo2	taxonomy	Hit	Hit_name	LAMPA_exclusive	LAMPA_iterat_type	LAMPA_q_from	LAMPA_q_to	LAMPA_h_from	LAMPA_h_to	LAMPA_TemplateHMM	LAMPA_Prob	LAMPA_E_value	PROT_q_from	PROT_q_to	PROT_h_from	PROT_h_to	PROT_TemplateHMM	PROT_Prob	PROT_E_value	DOM_q_from	DOM_q_to	DOM_h_from	DOM_h_to	DOM_TemplateHMM	DOM_Prob	DOM_E_value	target length	target Neff	query length #1	probability #1	pvalue #1	score #1	SS score #1	query coordinates #1	target coordinates #1	query length #2	probability #2	pvalue #2	score #2	SS score #2	query coordinates #2	target coordinates #2	Probab2
YP_009337234.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai sphaeromadae virus 4	PF00035.25	dsrm, Double-stranded RNA binding motif	1	2	563	1311	1231	1293	2-67(67)	96.1	0.01	1	1311	1231	1293	2-67(67)	94.8	0.043	1131	1311	1231	1291	2-65(67)	97.2	0.0012	67	12.4	1311	94.8	2.6e-06	34.4	5.8	1-1311	2-67	749	96.1	6e-07	35.1	5.8	563-1311	2-67	2	95.87694872105249
NP_040937.1	ssRNA positive-strand viruses	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Bovine viral diarrhea virus 1	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	1	2	229	693	298	352	33-95(184)	96.6	0.00013	1	3988	298	352	33-95(184)	93.4	0.0061	198	452	298	352	33-95(184)	97.1	2.6e-05	184	8.8	3988	93.4	3.7e-07	59.2	-0.8	1-3988	33-95	465	96.6	7.5e-09	57.1	-0.8	229-693	33-95	2	96.9369970245057
NP_044731.1	ssRNA positive-strand viruses	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Bovine viral diarrhea virus 2	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	1	2	229	655	298	352	33-95(184)	97	5.1e-05	1	3897	298	352	33-95(184)	94.7	0.0029	198	452	298	352	33-95(184)	97.4	1.1e-05	184	8.8	3897	94.7	1.7e-07	61.4	-0.2	1-3897	33-95	427	97.0	3e-09	58.8	-0.2	229-655	33-95	2	97.31002598697168
NP_075354.1	ssRNA positive-strand viruses	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Classical swine fever virus	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	1	2	226	690	295	349	33-95(184)	97.1	4.4e-05	1	3898	295	368	33-119(184)	94.6	0.0042	195	449	295	368	33-119(184)	97.4	1.6e-05	184	8.8	3898	94.6	2.5e-07	60.2	0.5	1-3898	33-119	465	97.1	2.6e-09	59.7	-0.0	226-690	33-95	2	97.19884859592764
NP_620053.1	ssRNA positive-strand viruses	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Pestivirus giraffe-1 H138	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	1	2	226	689	294	360	33-112(184)	96.6	0.00024	1	3989	294	360	33-112(184)	93.2	0.011	194	460	294	360	33-112(184)	97.1	5.4e-05	184	8.8	3989	93.2	6.3e-07	57.4	0.5	1-3989	33-112	464	96.6	1.4e-08	55.4	0.5	226-689	33-112	2	96.87446279656581
NP_620062.1	ssRNA positive-strand viruses	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Border disease virus	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	1	2	227	691	296	350	33-95(184)	95.2	0.0015	1	3895	296	350	33-95(184)	87	0.056	196	450	296	350	33-95(184)	96.1	0.00043	184	8.8	3895	87.0	3.4e-06	52.1	-0.6	1-3895	33-95	465	95.2	9e-08	50.8	-0.6	227-691	33-95	2	95.62157868182318
YP_002967452.1	ssRNA positive-strand viruses	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Bovine viral diarrhea virus 3 Th/04_KhonKaen	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	1	2	228	692	297	351	33-95(184)	97	7.6e-05	1	3899	297	351	33-95(184)	94.9	0.0032	197	451	297	351	33-95(184)	97.4	1.4e-05	184	8.8	3899	94.9	1.9e-07	61.1	0.6	1-3899	33-95	465	97.0	4.5e-09	58.3	0.6	228-692	33-95	2	97.29816578520665
YP_006860588.1	ssRNA positive-strand viruses	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Pestivirus strain Aydin/04-TR	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	1	2	227	691	296	350	33-95(184)	96.7	6.4e-05	1	3895	296	350	33-95(184)	93.9	0.0033	196	450	296	350	33-95(184)	97.2	1.3e-05	184	8.8	3895	93.9	1.9e-07	61.0	-1.9	1-3895	33-95	465	96.7	3.8e-09	58.8	-1.9	227-691	33-95	2	97.02234320964057
YP_008992092.1	ssRNA positive-strand viruses	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Porcine pestivirus isolate Bungowannah	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	1	2	236	694	305	359	33-95(184)	96.1	0.00049	1	3918	305	359	33-95(184)	91.4	0.02	205	459	305	359	33-95(184)	96.6	0.00018	184	8.8	3918	91.4	1.2e-06	55.3	-0.1	1-3918	33-95	459	96.1	3e-08	53.5	-0.1	236-694	33-95	2	96.47521950555678
YP_009026415.1	ssRNA positive-strand viruses	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Pronghorn antelope pestivirus	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	1	2	226	646	293	347	33-95(184)	96.4	0.00011	1	3897	293	347	33-95(184)	93.1	0.0043	193	447	293	347	33-95(184)	96.9	2.9e-05	184	8.8	3897	93.1	2.6e-07	60.1	-2.5	1-3897	33-95	421	96.4	6.5e-09	56.7	-2.5	226-646	33-95	2	96.922920361782
YP_009109567.1	ssRNA positive-strand viruses	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Norway rat pestivirus	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	1	2	334	810	401	455	33-95(184)	96.5	0.00015	1	3993	401	455	33-95(184)	93.2	0.0065	301	555	401	455	33-95(184)	96.7	9.4e-05	184	8.8	3993	93.2	3.9e-07	59.0	-1.1	1-3993	33-95	477	96.5	8.9e-09	56.8	-1.1	334-810	33-95	2	96.84922673742213
YP_009268709.1	ssRNA positive-strand viruses	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Atypical porcine pestivirus 1	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	1	3	248	547	319	391	33-119(184)	95.7	0.0043	1	3635	319	391	33-119(184)	87.1	0.21	219	491	319	391	33-119(184)	96	0.003	184	8.8	3635	87.1	1.3e-05	47.6	3.6	1-3635	33-119	300	95.7	2.6e-07	45.6	3.6	248-547	33-119	3	96.23935637132604
YP_009407716.1	ssRNA positive-strand viruses	Flaviviridae	Pestivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pestivirus, Linda virus	PF00445.17	Ribonuclease_T2, Ribonuclease T2 family	1	2	243	702	312	366	33-95(184)	97.1	3.1e-05	1	3923	312	366	33-95(184)	94.8	0.0022	212	466	312	366	33-95(184)	97.4	8.1e-06	184	8.8	3923	94.8	1.3e-07	62.2	-0.7	1-3923	33-95	460	97.1	1.9e-09	60.5	-0.7	243-702	33-95	2	97.28652695212753
YP_009417302.1	ssRNA positive-strand viruses	Caliciviridae	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Caliciviridae, Fathead minnow calicivirus	PF00485.17	PRK, Phosphoribulokinase / Uridine kinase family	1	2	434	839	505	572	1-76(209)	97.1	0.00011	1	2114	505	572	1-76(209)	94.8	0.0051	405	672	505	572	1-76(209)	97.4	2.7e-05	209	10.4	2114	94.8	3e-07	54.3	1.7	1-2114	1-76	406	97.1	6.3e-09	54.3	1.7	434-839	1-76	2	97.0448568008552
YP_009353026.1	dsRNA viruses	Chrysoviridae	Chrysovirus	Viruses, dsRNA viruses, Chrysoviridae, Chrysovirus, Botryosphaeria dothidea chrysovirus 1	PF00625.20	Guanylate_kin, Guanylate kinase	1	2	1	387	38	175	4-153(186)	95.1	0.027	1	1077	38	175	4-153(186)	91.8	0.16	1	275	38	175	4-153(186)	95.5	0.018	186	11.4	1077	91.8	9.8e-06	38.8	5.6	1-1077	4-153	387	95.1	1.6e-06	38.3	5.6	1-387	4-153	2	95.23787142596188
YP_003280846.1	dsRNA viruses	Endornaviridae	Alphaendornavirus	Viruses, dsRNA viruses, Endornaviridae, Alphaendornavirus, Helicobasidium mompa alphaendornavirus 1	PF00625.20	Guanylate_kin, Guanylate kinase	1	3	4537	4920	4684	4739	2-78(186)	97.1	5.6e-05	1	5373	4684	4739	2-78(186)	92.4	0.015	4584	4839	4684	4739	2-78(186)	97.4	1.7e-05	186	11.4	5373	92.4	9.1e-07	53.1	0.3	1-5373	2-78	384	97.1	3.3e-09	52.2	0.3	4537-4920	2-78	3	97.17296604058028
YP_009333409.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai razor shell virus 4	PF00625.20	Guanylate_kin, Guanylate kinase	1	2	2116	2595	2392	2549	1-186(186)	95.9	0.015	1	2595	2392	2549	1-186(186)	91.5	0.25	2292	2595	2392	2549	1-186(186)	96.6	0.0042	186	11.4	2595	91.5	1.5e-05	41.6	7.1	1-2595	1-186	480	95.9	9.2e-07	40.7	7.1	2116-2595	1-186	2	96.15911428715667
YP_009333465.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai sesarmid crab virus 7	PF00625.20	Guanylate_kin, Guanylate kinase	1	2	2151	2644	2429	2584	2-185(186)	96	0.013	1	2644	2429	2584	2-185(186)	91.5	0.24	2329	2644	2429	2584	2-185(186)	96.6	0.0046	186	11.4	2644	91.5	1.4e-05	41.8	6.9	1-2644	2-185	494	96.0	7.6e-07	41.3	6.9	2151-2644	2-185	2	96.11786531765453
